"Species1","Mass","Wing.Length","Hand-Wing.Index"
"Accipiter albogularis",248.8,235.2,33.9
"Accipiter badius",131.2,186.7,32.9
"Accipiter bicolor",287.5,229.6,24.6
"Accipiter brachyurus",142,202.2,31.7
"Accipiter brevipes",186.5,217.6,40.2
"Accipiter butleri",122,166,25.8
"Accipiter castanilius",157.5,163.5,24
"Accipiter cirrocephalus",165.7,213,37.8
"Accipiter collaris",97.8,165.9,30
"Accipiter cooperii",429.7,241.2,32.3
"Accipiter erythrauchen",156,191.2,30.8
"Accipiter erythropus",111.2,154.6,27.1
"Accipiter fasciatus",358.7,269.9,38.3
"Accipiter francesiae",136.8,155.8,27.8
"Accipiter gentilis",866,337.6,36.3
"Accipiter griseiceps",251.8,187.2,26.8
"Accipiter gularis",120.7,162.6,33.2
"Accipiter gundlachi",675,228,27.1
"Accipiter haplochrous",198.4,227.8,32.7
"Accipiter henicogrammus",358.7,230.2,31.1
"Accipiter henstii",1050,290.5,27
"Accipiter hiogaster",326.1,197.2,30.8
"Accipiter imitator",222.5,200,30
"Accipiter luteoschistaceus",214,188,30.3
"Accipiter madagascariensis",180.4,190.8,28.7
"Accipiter melanochlamys",265,228.6,32.4
"Accipiter melanoleucus",699,302.8,35
"Accipiter meyerianus",763.5,309.5,33
"Accipiter minullus",87.4,150.4,29.6
"Accipiter nanus",117,152.4,29.5
"Accipiter nisus",220.8,207.4,35.5
"Accipiter novaehollandiae",326.1,261.9,28.9
"Accipiter ovampensis",195,222.4,38.4
"Accipiter poliocephalus",214.8,210.5,32.1
"Accipiter poliogaster",315,240.4,29.6
"Accipiter princeps",214.8,266.3,29.2
"Accipiter rhodogaster",172.7,172.6,29.7
"Accipiter rufitorques",209,217.6,34.1
"Accipiter rufiventris",198,218.6,38.1
"Accipiter soloensis",164.8,187.8,39
"Accipiter striatus",130.6,181.6,30.7
"Accipiter superciliosus",96.4,146.4,26.9
"Accipiter sylvestris",326.1,206.4,32
"Accipiter tachiro",290.2,217.4,25.7
"Accipiter toussenelii",249.3,189,24.4
"Accipiter trinotatus",146,162.9,27.2
"Accipiter trivirgatus",265,216.2,23
"Accipiter virgatus",117,167.7,27.4
"Aegypius monachus",9320.6,734.2,41.1
"Aquila adalberti",2958,592.5,39.7
"Aquila africana",1047,342.2,27.4
"Aquila audax",3449.9,617.7,39.6
"Aquila chrysaetos",4248,603.1,36.7
"Aquila fasciata",1936.5,486.8,37.3
"Aquila gurneyi",3060,544.5,33.8
"Aquila heliaca",3125.2,582.2,39.5
"Aquila nipalensis",2714.3,559.6,40.5
"Aquila rapax",2236.1,506.6,38.7
"Aquila spilogaster",1466.2,427.6,35.2
"Aquila verreauxii",4195,590.2,34
"Aviceda cuculoides",277,264.6,42.4
"Aviceda jerdoni",363,302.8,25.6
"Aviceda leuphotes",194,230.6,35.3
"Aviceda madagascariensis",277,314.2,33.8
"Aviceda subcristata",322.7,336.6,40.2
"Busarellus nigricollis",766.1,393.5,27
"Butastur indicus",414.6,327.6,46.9
"Butastur liventer",338,275,42
"Butastur rufipennis",334.9,311.2,45.8
"Butastur teesa",325,295.4,44.5
"Buteo albigula",525,291,37.6
"Buteo albonotatus",745.9,398,40.3
"Buteo augur",1099.2,410.2,31.4
"Buteo auguralis",663.9,356.2,37.8
"Buteo brachypterus",511,315.4,31.7
"Buteo brachyurus",496,307.6,29.7
"Buteo buteo",759.1,382.9,38.3
"Buteo galapagoensis",1137.4,402.6,43.6
"Buteo hemilasius",1358.9,467.2,38.2
"Buteo jamaicensis",1101.2,402.8,34.1
"Buteo japonicus",759.1,395,41.2
"Buteo lagopus",949.8,428.3,42.1
"Buteo lineatus",603.7,319,33.4
"Buteo nitidus",519,247.3,27.5
"Buteo oreophilus",700,346,36
"Buteo plagiatus",519,267.9,30.5
"Buteo platypterus",453.7,277.7,36.9
"Buteo refectus",759.1,346,36.3
"Buteo regalis",1437.2,431,41.3
"Buteo ridgwayi",315,222.5,33.4
"Buteo rufinus",1166.2,447.5,40.5
"Buteo rufofuscus",1530,413.2,33.8
"Buteo socotraensis",759.1,323,35.2
"Buteo solitarius",500.9,270.2,34.1
"Buteo swainsoni",946.6,383.7,46.6
"Buteo trizonatus",568,345.8,37.9
"Buteo ventralis",1190.5,359,33
"Buteogallus aequinoctialis",657.6,316.2,24.9
"Buteogallus anthracinus",975.1,355.2,30.7
"Buteogallus coronatus",2950,533,33
"Buteogallus gundlachii",975.1,348.1,32.4
"Buteogallus lacernulatus",312,293.8,29.6
"Buteogallus meridionalis",808,416.4,31.1
"Buteogallus schistaceus",1000,272,25.5
"Buteogallus solitarius",3000,526.2,28.9
"Buteogallus urubitinga",1152.9,399.7,22
"Chelictinia riocourii",110,240.2,55.7
"Chondrohierax uncinatus",286.1,285.3,21
"Chondrohierax wilsonii",286.1,244,26
"Circaetus beaudouini",1500,501.8,43.5
"Circaetus cinerascens",1126,379.5,30.4
"Circaetus cinereus",2048,517.8,42.9
"Circaetus fasciolatus",1013.6,362.2,28
"Circaetus gallicus",1699.1,537,40.5
"Circaetus pectoralis",1500,527.8,43
"Circus aeruginosus",704.1,405.7,45.6
"Circus approximans",746.2,406.9,44.7
